attribute_option_id,uuid,attribute_id,attribute_code,option_text
123,11111111-2222-4333-8444-555555555673,74,case_rgb,Yes
124,11111111-2222-4333-8444-555555555674,74,case_rgb,No
125,11111111-2222-4333-8444-555555555675,75,cooling_type,Air
126,11111111-2222-4333-8444-555555555676,75,cooling_type,Water (AIO)
127,11111111-2222-4333-8444-555555555677,76,cooling_socket_compat,AM4
128,11111111-2222-4333-8444-555555555678,76,cooling_socket_compat,AM5
129,11111111-2222-4333-8444-555555555679,76,cooling_socket_compat,LGA1700
130,11111111-2222-4333-8444-555555555680,77,cooling_fan_diameter,120
131,11111111-2222-4333-8444-555555555681,77,cooling_fan_diameter,140
132,11111111-2222-4333-8444-555555555682,78,cooling_noise,20-25
133,11111111-2222-4333-8444-555555555683,78,cooling_noise,26-30
134,11111111-2222-4333-8444-555555555684,79,cards_type,Sound card
135,11111111-2222-4333-8444-555555555685,79,cards_type,Network card
136,11111111-2222-4333-8444-555555555686,79,cards_type,Wi-Fi card
137,11111111-2222-4333-8444-555555555687,80,cards_interface,PCIe x1
138,11111111-2222-4333-8444-555555555688,80,cards_interface,PCIe x4
139,11111111-2222-4333-8444-555555555689,80,cards_interface,PCIe x16
140,11111111-2222-4333-8444-555555555690,81,cable_type,Power
141,11111111-2222-4333-8444-555555555691,81,cable_type,SATA
69,11111111-2222-4333-8444-555555555619,51,nand_type,MLC
70,11111111-2222-4333-8444-555555555620,51,nand_type,TLC
97,11111111-2222-4333-8444-555555555647,62,gpu_vram_type,GDDR6
98,11111111-2222-4333-8444-555555555648,62,gpu_vram_type,GDDR6X
99,11111111-2222-4333-8444-555555555649,63,gpu_power_connectors,1x 8-pin
100,11111111-2222-4333-8444-555555555650,63,gpu_power_connectors,2x 8-pin
101,11111111-2222-4333-8444-555555555651,64,gpu_length_mm,250
102,11111111-2222-4333-8444-555555555652,64,gpu_length_mm,300
103,11111111-2222-4333-8444-555555555653,65,gpu_outputs,HDMI
104,11111111-2222-4333-8444-555555555654,65,gpu_outputs,DisplayPort
105,11111111-2222-4333-8444-555555555655,66,psu_wattage_range,450
106,11111111-2222-4333-8444-555555555656,66,psu_wattage_range,550
107,11111111-2222-4333-8444-555555555657,66,psu_wattage_range,650
108,11111111-2222-4333-8444-555555555658,67,psu_80plus,Bronze
109,11111111-2222-4333-8444-555555555659,67,psu_80plus,Gold
110,11111111-2222-4333-8444-555555555660,67,psu_80plus,Platinum
111,11111111-2222-4333-8444-555555555661,68,psu_form_factor,ATX
112,11111111-2222-4333-8444-555555555662,68,psu_form_factor,SFX
113,11111111-2222-4333-8444-555555555663,69,psu_modularity,Non-modular
114,11111111-2222-4333-8444-555555555664,69,psu_modularity,Semi-modular
115,11111111-2222-4333-8444-555555555665,69,psu_modularity,Modular
116,11111111-2222-4333-8444-555555555666,70,case_supported_mobos,ATX
117,11111111-2222-4333-8444-555555555667,70,case_supported_mobos,mATX
118,11111111-2222-4333-8444-555555555668,70,case_supported_mobos,Mini-ITX
142,11111111-2222-4333-8444-555555555692,81,cable_type,USB
143,11111111-2222-4333-8444-555555555693,82,cable_length,0.5
144,11111111-2222-4333-8444-555555555694,82,cable_length,1
145,11111111-2222-4333-8444-555555555695,82,cable_length,2
146,11111111-2222-4333-8444-555555555696,83,cable_interface,USB 2.0
147,11111111-2222-4333-8444-555555555697,83,cable_interface,USB 3.0
148,11111111-2222-4333-8444-555555555698,83,cable_interface,USB-C
149,11111111-2222-4333-8444-555555555699,84,component_type,Controller
150,11111111-2222-4333-8444-555555555700,84,component_type,Adapter
151,11111111-2222-4333-8444-555555555701,85,component_interface,PCIe
152,11111111-2222-4333-8444-555555555702,85,component_interface,SATA
